"ID","Member_Country","Measure","Table","Value","Harvest_Sector","Year","Unit"
97,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",124481,"Offshore Foreign Based","2014","Tonnes"
98,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",92899,"Offshore Foreign Based","2021","Tonnes"
99,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",1,"Freshwater","2007","Tonnes"
100,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",1,"Freshwater","2014","Tonnes"
101,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",1,"Freshwater","2021","Tonnes"
102,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",14500000,"Coastal commercial","1999","US$"
103,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",7560000,"Coastal commercial","2007","US$"
104,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",5000000,"Coastal commercial","2014","US$"
105,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",7000000,"Coastal commercial","2021","US$"
106,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",10000000,"Coastal subsistence","1999","US$"
107,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",15732000,"Coastal subsistence","2007","US$"
108,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",8800000,"Coastal subsistence","2014","US$"
109,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",10500000,"Coastal subsistence","2021","US$"
110,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",12495000,"Offshore Locally Based","1999","US$"
111,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",23908377,"Offshore Locally Based","2007","US$"
112,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",85342200,"Offshore Locally Based","2014","US$"
113,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",205600000,"Offshore Locally Based","2021","US$"
114,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",144000000,"Offshore Foreign Based","1999","US$"
115,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",177195590,"Offshore Foreign Based","2007","US$"
116,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",228148080,"Offshore Foreign Based","2014","US$"
117,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",121100000,"Offshore Foreign Based","2021","US$"
118,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",8000,"Freshwater","2007","US$"
119,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",8000,"Freshwater","2014","US$"
120,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",8000,"Freshwater","2021","US$"
121,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",80000,"Aquaculture","2007","US$"
122,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",164800,"Aquaculture","2014","US$"
123,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",325000,"Aquaculture","2021","US$"
124,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",8,"Aquaculture","2014","Pieces"
125,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",16000,"Aquaculture","2007","Pieces"
126,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",37400,"Aquaculture","2014","Pieces"
127,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",65000,"Aquaculture","2021","Pieces"
128,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",9320,"Coastal commercial","1999","Tonnes"
129,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",11000,"Coastal commercial","2007","Tonnes"
130,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",9500,"Coastal commercial","2014","Tonnes"
131,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",11700,"Coastal commercial","2021","Tonnes"
132,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",21600,"Coastal subsistence","1999","Tonnes"
133,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",16000,"Coastal subsistence","2007","Tonnes"
134,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",17400,"Coastal subsistence","2014","Tonnes"
135,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",18400,"Coastal subsistence","2021","Tonnes"
136,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",5500,"Offshore Locally Based","1999","Tonnes"
137,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",13744,"Offshore Locally Based","2007","Tonnes"
138,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",17079,"Offshore Locally Based","2014","Tonnes"
139,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",10828,"Offshore Locally Based","2021","Tonnes"
140,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",917,"Offshore Foreign Based","1999","Tonnes"
141,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",492,"Offshore Foreign Based","2007","Tonnes"
142,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",0,"Offshore Foreign Based","2014","Tonnes"
143,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",0,"Offshore Foreign Based","2021","Tonnes"
144,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",3731,"Freshwater","2007","Tonnes"
145,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",4140,"Freshwater","2014","Tonnes"
146,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",4000,"Freshwater","2021","Tonnes"
147,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",30000000,"Coastal commercial","1999","F$"
148,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",75000000,"Coastal commercial","2007","F$"
149,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",54000000,"Coastal commercial","2014","F$"
150,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",58000000,"Coastal commercial","2021","F$"
151,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",48600000,"Coastal subsistence","1999","F$"
152,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",58000000,"Coastal subsistence","2007","F$"
153,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",54100000,"Coastal subsistence","2014","F$"
154,"Fiji","Estimates by the Benefish studies of annual fisheries harvests","8-5",80000000,"Coastal subsistence","2021","F$"
