"Measure","variable","value"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Aquaculture"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Offshore locally based"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Offshore locally based resident vessels (i.e. DS and CFC)"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Pearls"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Other aquaculture"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Offshore Locally based [1]"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Purse seine"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Pole-and-line"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Gross value of production"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","VAR"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Value added (US$)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Value added"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Gross value of production (US$)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Value added(F$)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Gross value  of production (A$)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Value added (A$)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Value added (NZ$)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension",NA
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Value added (K)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Value added (ST$)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Value (SI$)  (from Table 16-5)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Gross value of production ($T)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Value added ($T)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Gross value of production (VT, from Table 19-1)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Value added (VT)"
"Fishing contribution to GDP - VAR Method","GDP_Dimension","Value added (XPF)"
"Fishing contribution to GDP - VAR Method","Year","2021"
"Fishing contribution to GDP - VAR Method","Unit","US$"
"Fishing contribution to GDP - VAR Method","Unit","Proportion"
"Fishing contribution to GDP - VAR Method","Unit","NZ$"
"Fishing contribution to GDP - VAR Method","Unit","F$"
"Fishing contribution to GDP - VAR Method","Unit","XPF"
"Fishing contribution to GDP - VAR Method","Unit","A$"
"Fishing contribution to GDP - VAR Method","Unit","K"
